Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
80,8.8423087,0.0,0.0,6.9223087,20.766926,0.0,0.0
81,8.7407863,0.0,0.002375353,6.3631617,19.089485,0.0,0.0
82,10.352563,0.0,0.17102544,6.0835881,18.250764,0.0,0.0
83,10.954409,0.0,0.19192855,7.3663373,22.099012,0.0,0.0
84,11.315421,0.0,0.36295399,7.9583753,23.875126,0.0,0.0
85,10.066154,0.0,1.9577662,7.7939203,23.381761,0.0,0.0
86,10.179831,0.0,1.4313879,7.2512188,21.753656,0.0,0.0
87,10.20707,0.0,0.90168413,6.9387543,20.816263,0.0,0.0
88,10.706853,0.0,0.39810922,6.7249627,20.174888,0.0,0.0
89,9.8198307,0.0,0.12446852,6.7742992,20.322898,0.0,0.0
90,10.102972,0.0,0.0,6.8729722,20.618917,0.0,0.0
91,10.564299,0.0,0.0,6.7742992,20.322898,0.0,0.0
92,10.840745,0.0,0.0,6.7907447,20.372234,0.0,0.0
93,10.702546,0.0,0.0,7.1525458,21.457637,0.0,0.0
94,10.643873,0.0,0.0,7.0538728,21.161618,0.0,0.0
95,10.531219,0.0,0.0,7.2512188,21.753656,0.0,0.0
96,9.1141098,0.0,0.0,7.2841098,21.852329,0.0,0.0
97,8.1918823,0.0,0.0,7.2018823,21.605647,0.0,0.0
98,8.0514558,0.0,0.0,7.4814558,22.444367,0.0,0.0
99,7.8656738,0.0,0.0,7.4156738,22.247021,0.0,0.0
100,8.1463373,0.0,0.0,7.3663373,22.099012,0.0,0.0
101,7.9296548,0.0,0.0,7.1196548,21.358964,0.0,0.0
102,7.8161003,0.0,0.0,7.1361003,21.408301,0.0,0.0
103,8.8550103,0.0,0.0,7.4650103,22.395031,0.0,0.0
104,9.3972378,0.0,0.0,7.5472378,22.641713,0.0,0.0
105,9.5088067,0.0,0.037530583,7.3663373,22.099012,0.0,0.0
106,10.747878,0.0,0.30689565,7.2347733,21.70432,0.0,0.0
107,10.370723,0.0,0.82092211,6.9716453,20.914936,0.0,0.0
108,9.5252437,0.0,1.3677285,6.8729722,20.618917,0.0,0.0
109,9.7928846,0.0,0.90786004,6.7907447,20.372234,0.0,0.0
